Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
【1853年】正月、諸大名江戸城登城,01/01/2026,,01/01/2026,,True,"【1853-01-01の出来事を追体験】
和暦: 嘉永5年12月1日
人物: 徳川家慶
解説: 年頭の将軍拝賀行事
タグ: 政治

本来の日付: 1853-01-01
追体験日付: 2026-01-01",,False
【1853年】正月二日年賀行事,01/02/2026,,01/02/2026,,True,"【1853-01-02の出来事を追体験】
和暦: 嘉永5年12月2日
人物: 幕閣
解説: 幕府年始儀礼継続
タグ: 政治

本来の日付: 1853-01-02
追体験日付: 2026-01-02",,False
【1853年】三日とろろ祝い,01/03/2026,,01/03/2026,,True,"【1853-01-03の出来事を追体験】
和暦: 嘉永5年12月3日
人物: 江戸庶民
解説: 正月伝統行事
タグ: 社会

本来の日付: 1853-01-03
追体験日付: 2026-01-03",,False
【1853年】七草粥行事,01/07/2026,,01/07/2026,,True,"【1853-01-07の出来事を追体験】
和暦: 嘉永5年12月7日
人物: 一般民衆
解説: 年中行事の継続
タグ: 社会

本来の日付: 1853-01-07
追体験日付: 2026-01-07",,False
【1853年】月例政務会議,01/10/2026,,01/10/2026,,True,"【1853-01-10の出来事を追体験】
和暦: 嘉永5年12月10日
人物: 老中
解説: 定例政務処理
タグ: 政治

本来の日付: 1853-01-10
追体験日付: 2026-01-10",,False
【1853年】鏡開き,01/11/2026,,01/11/2026,,True,"【1853-01-11の出来事を追体験】
和暦: 嘉永5年12月11日
人物: 江戸市民
解説: 武家・庶民共通行事
タグ: 社会

本来の日付: 1853-01-11
追体験日付: 2026-01-11",,False
【1853年】小正月行事,01/15/2026,,01/15/2026,,True,"【1853-01-15の出来事を追体験】
和暦: 嘉永5年12月15日
人物: 全国
解説: 望月の祝い
タグ: 社会

本来の日付: 1853-01-15
追体験日付: 2026-01-15",,False
【1853年】大寒入り,01/20/2026,,01/20/2026,,True,"【1853-01-20の出来事を追体験】
和暦: 嘉永5年12月20日
人物: 暦
解説: 季節の節目
タグ: 自然

本来の日付: 1853-01-20
追体験日付: 2026-01-20",,False
【1853年】大名参勤準備,01/25/2026,,01/25/2026,,True,"【1853-01-25の出来事を追体験】
和暦: 嘉永5年12月25日
人物: 諸大名
解説: 参勤交代準備
タグ: 政治

本来の日付: 1853-01-25
追体験日付: 2026-01-25",,False
【1853年】月末政務,01/28/2026,,01/28/2026,,True,"【1853-01-28の出来事を追体験】
和暦: 嘉永5年12月28日
人物: 幕閣
解説: 定例政務処理
タグ: 政治

本来の日付: 1853-01-28
追体験日付: 2026-01-28",,False
【1853年】嘉永6年元旦,02/01/2026,,02/01/2026,,True,"【1853-02-01の出来事を追体験】
和暦: 嘉永6年1月1日
人物: 朝廷・幕府
解説: 新年の政治行事、改暦
タグ: 政治

本来の日付: 1853-02-01
追体験日付: 2026-02-01",,False
【1853年】節分,02/03/2026,,02/03/2026,,True,"【1853-02-03の出来事を追体験】
和暦: 嘉永6年1月3日
人物: 全国
解説: 季節行事
タグ: 社会

本来の日付: 1853-02-03
追体験日付: 2026-02-03",,False
【1853年】立春,02/04/2026,,02/04/2026,,True,"【1853-02-04の出来事を追体験】
和暦: 嘉永6年1月4日
人物: 暦
解説: 春の始まり
タグ: 自然

本来の日付: 1853-02-04
追体験日付: 2026-02-04",,False
【1853年】幕府財政会議,02/10/2026,,02/10/2026,,True,"【1853-02-10の出来事を追体験】
和暦: 嘉永6年1月10日
人物: 勘定奉行
解説: 年度予算協議
タグ: 経済

本来の日付: 1853-02-10
追体験日付: 2026-02-10",,False
【1853年】建国記念日前身行事,02/11/2026,,02/11/2026,,True,"【1853-02-11の出来事を追体験】
和暦: 嘉永6年1月11日
人物: 朝廷
解説: 神武天皇即位伝承日
タグ: 政治

本来の日付: 1853-02-11
追体験日付: 2026-02-11",,False
【1853年】雨水,02/19/2026,,02/19/2026,,True,"【1853-02-19の出来事を追体験】
和暦: 嘉永6年1月19日
人物: 暦
解説: 雪が雨に変わる頃
タグ: 自然

本来の日付: 1853-02-19
追体験日付: 2026-02-19",,False
【1853年】朝廷年賀使派遣,02/20/2026,,02/20/2026,,True,"【1853-02-20の出来事を追体験】
和暦: 嘉永6年1月20日
人物: 幕府
解説: 朝幕関係維持
タグ: 政治

本来の日付: 1853-02-20
追体験日付: 2026-02-20",,False
【1853年】寛永寺参詣,02/28/2026,,02/28/2026,,True,"【1853-02-28の出来事を追体験】
和暦: 嘉永6年1月28日
人物: 徳川家慶
解説: 将軍の定期参詣
タグ: 宗教

本来の日付: 1853-02-28
追体験日付: 2026-02-28",,False
